"Indexed search interest in all players and managers in the Bundesliga 2017-18. Data from the beginning of the season in August 2017, to April 9 2018",,,
Player,Team,Position,Index
Marcin Kaminski,VfB Stuttgart,Defence,1
Santiago Ascacibar,VfB Stuttgart,Midfield,3
Carlos Mané,VfB Stuttgart,Midfield,2
Erik Thommy,VfB Stuttgart,Midfield,2
Chadrac Akolo,VfB Stuttgart,Midfield,4
Christian Gentner,VfB Stuttgart,Midfield,17
Orel Mangala,VfB Stuttgart,Midfield,1
Dzenis Burnić,VfB Stuttgart,Midfield,2
Matthias Zimmermann,VfB Stuttgart,Midfield,1
Berkay Özcan,VfB Stuttgart,Midfield,1
Jacob Bruun Larsen,VfB Stuttgart,Midfield,1
Nicolas Sessa,VfB Stuttgart,Midfield,0
Takuma Asano,VfB Stuttgart,Forward,2
Anastasios Donis,VfB Stuttgart,Forward,1
Mario Gomez,VfB Stuttgart,Forward,35
Daniel Ginczek,VfB Stuttgart,Forward,4
Tayfun Korkut,VfB Stuttgart,Manager,13
Koen Casteels,VfL Wolfsburg,Goal keeper,2
Max Grün,VfL Wolfsburg,Goal keeper,1
Phillip Menzel,VfL Wolfsburg,Goal keeper,0
William,VfL Wolfsburg,Defence,0
Paul Verhaegh,VfL Wolfsburg,Defence,1
Jeffrey Bruma,VfL Wolfsburg,Defence,2
Yannick Gerhardt,VfL Wolfsburg,Defence,2
Felix Ohis Uduokhai,VfL Wolfsburg,Defence,2
Sebastian Jung,VfL Wolfsburg,Defence,1
John Anthony Brooks,VfL Wolfsburg,Defence,2
Marcel Tisserand,VfL Wolfsburg,Defence,1
Robin Knoche,VfL Wolfsburg,Defence,1
Gian-Luca Itter,VfL Wolfsburg,Defence,0
Ignacio Camacho,VfL Wolfsburg,Midfield,1
Riechedly Bazoer,VfL Wolfsburg,Midfield,1
Renato Steffen,VfL Wolfsburg,Midfield,1
Yunus Malli,VfL Wolfsburg,Midfield,4
Daniel Didavi,VfL Wolfsburg,Midfield,4
Jakub Błaszczykowski,VfL Wolfsburg,Midfield,3
Josip Brekalo,VfL Wolfsburg,Midfield,3
Admir Mehmedi,VfL Wolfsburg,Midfield,3
Josuha Guilavogui,VfL Wolfsburg,Midfield,1
Justin Möbius,VfL Wolfsburg,Midfield,0
Maximilian Arnold,VfL Wolfsburg,Midfield,2
Elvis Rexhbecaj,VfL Wolfsburg,Midfield,0
Landry Nany Dimata,VfL Wolfsburg,Forward,1
Divock Origi,VfL Wolfsburg,Forward,6
Victor Osimhen,VfL Wolfsburg,Forward,0
Bruno Labbadia,VfL Wolfsburg,Manager,9
