Most searched and second most searched Republican candidates leading up to 3rd GOP Debate,,,
"All results based on US search interest, 9/17-10/23/15",,,
1st_LastDebate is the most searched candidate leading up to the 9/16 debate,,,
FIPS Code,1st,2nd,1st_LastDebate
16003,Donald Trump,Ben Carson,Donald Trump
16005,Donald Trump,Ben Carson,Donald Trump
16007,Donald Trump,Ben Carson,Donald Trump
16009,Donald Trump,Ben Carson,Donald Trump
16011,Donald Trump,Jeb Bush,Donald Trump
16013,Donald Trump,Ben Carson,Donald Trump
16015,Donald Trump,Jeb Bush,Donald Trump
16017,Donald Trump,Ben Carson,Donald Trump
16019,Donald Trump,Carly Fiorina,Ben Carson
16021,Donald Trump,Ben Carson,Ben Carson
16023,Carly Fiorina,Donald Trump,Donald Trump
16027,Donald Trump,Ben Carson,Donald Trump
16029,Donald Trump,Ben Carson,Donald Trump
16031,Donald Trump,Ben Carson,Ben Carson
16033,Carly Fiorina,Donald Trump,No data
16035,Donald Trump,Jeb Bush,Donald Trump
16037,Donald Trump,Carly Fiorina,Donald Trump
16039,Donald Trump,Carly Fiorina,Donald Trump
16041,Ben Carson,Donald Trump,Bobby Jindal
16043,Carly Fiorina,Donald Trump,Donald Trump
16045,Donald Trump,Ted Cruz,Donald Trump
16047,Donald Trump,Marco Rubio,Donald Trump
16049,Donald Trump,Ben Carson,Donald Trump
16051,Donald Trump,Ben Carson,Donald Trump
16053,Donald Trump,Jeb Bush,Donald Trump
16055,Donald Trump,Ben Carson,Donald Trump
16057,Donald Trump,Carly Fiorina,Donald Trump
16061,Donald Trump,Ben Carson,Donald Trump
16063,Donald Trump,Ben Carson,Marco Rubio
16065,Donald Trump,Ben Carson,Donald Trump
16067,Donald Trump,Ben Carson,Donald Trump
16071,Ben Carson,Donald Trump,Donald Trump
16073,Donald Trump,Ben Carson,Donald Trump
