County,Most searched NFL team in 2018
"Izard County, Arkansas",Tennessee Titans
"Jackson County, Arkansas",Minnesota Vikings
"Jefferson County, Arkansas",Dallas Cowboys
"Johnson County, Arkansas",Philadelphia Eagles
"Lafayette County, Arkansas",Dallas Cowboys
"Little River County, Arkansas",Pittsburgh Steelers
"Logan County, Arkansas",Minnesota Vikings
"Lonoke County, Arkansas",Denver Broncos
"Madison County, Arkansas",Dallas Cowboys
"Marion County, Arkansas",New England Patriots
"Miller County, Arkansas",San Francisco 49ers
"Mississippi County, Arkansas",San Francisco 49ers
"Monroe County, Arkansas",Philadelphia Eagles
"Montgomery County, Arkansas",Dallas Cowboys
"Nevada County, Arkansas",San Francisco 49ers
"Newton County, Arkansas",Oakland Raiders
"Ouachita County, Arkansas",New England Patriots
"Perry County, Arkansas",Seattle Seahawks
"Phillips County, Arkansas",Los Angeles Chargers
"Pike County, Arkansas",Oakland Raiders
"Poinsett County, Arkansas",Dallas Cowboys
"Polk County, Arkansas",Cleveland Browns
"Pope County, Arkansas",New England Patriots
"Randolph County, Arkansas",Chicago Bears
"St. Francis County, Arkansas",Cleveland Browns
"Saline County, Arkansas",New England Patriots
"Searcy County, Arkansas",Dallas Cowboys
"Sebastian County, Arkansas",Dallas Cowboys
"Sevier County, Arkansas",Denver Broncos
"Stone County, Arkansas",Philadelphia Eagles
"Van Buren County, Arkansas",Dallas Cowboys
"White County, Arkansas",Dallas Cowboys
"Yell County, Arkansas",New Orleans Saints
"Alpine County, California",New York Giants
"Amador County, California",San Francisco 49ers
"Butte County, California",San Francisco 49ers
"Calaveras County, California",New England Patriots
"Del Norte County, California",Oakland Raiders
"El Dorado County, California",San Francisco 49ers
"Humboldt County, California",Oakland Raiders
"Imperial County, California",Oakland Raiders
"Inyo County, California",Philadelphia Eagles
"Kings County, California",Oakland Raiders
"Lake County, California",Oakland Raiders
"Lassen County, California",New York Giants
"Mariposa County, California",Oakland Raiders
"Mendocino County, California",New York Giants
"Merced County, California",San Francisco 49ers
"Modoc County, California",New York Giants
"Mono County, California",New England Patriots
"Nevada County, California",New York Giants
"San Benito County, California",Oakland Raiders
"San Luis Obispo County, California",Oakland Raiders
"Santa Barbara County, California",Oakland Raiders
"Santa Cruz County, California",San Francisco 49ers
"Sierra County, California",New York Giants
"Siskiyou County, California",San Francisco 49ers
"Solano County, California",San Francisco 49ers
"Sutter County, California",Oakland Raiders
"Tehama County, California",Oakland Raiders
"Trinity County, California",Green Bay Packers
"Tuolumne County, California",New York Giants
"Yuba County, California",San Francisco 49ers
"Alamosa County, Colorado",Denver Broncos
"Archuleta County, Colorado",Denver Broncos
"Baca County, Colorado",Philadelphia Eagles
"Bent County, Colorado",Denver Broncos
"Broomfield County, Colorado",Denver Broncos
"Chaffee County, Colorado",Denver Broncos
"Cheyenne County, Colorado",Denver Broncos
"Clear Creek County, Colorado",Denver Broncos
"Conejos County, Colorado",Pittsburgh Steelers
"Costilla County, Colorado",Denver Broncos
"Crowley County, Colorado",Los Angeles Chargers
"Custer County, Colorado",Dallas Cowboys
"Delta County, Colorado",Denver Broncos
"Dolores County, Colorado",Philadelphia Eagles
"Eagle County, Colorado",Denver Broncos
"Elbert County, Colorado",Denver Broncos
"Gilpin County, Colorado",Denver Broncos
"Grand County, Colorado",Denver Broncos
"Gunnison County, Colorado",New England Patriots
"Jackson County, Colorado",Philadelphia Eagles
"Kiowa County, Colorado",New England Patriots
"Kit Carson County, Colorado",New York Giants
"Lake County, Colorado",New England Patriots
"Las Animas County, Colorado",Denver Broncos
"Lincoln County, Colorado",Denver Broncos
"Logan County, Colorado",Denver Broncos
"Mineral County, Colorado",Denver Broncos
"Moffat County, Colorado",Denver Broncos
"Montezuma County, Colorado",New York Giants
"Montrose County, Colorado",Denver Broncos
"Morgan County, Colorado",Denver Broncos
"Otero County, Colorado",Denver Broncos
"Phillips County, Colorado",Denver Broncos
"Pitkin County, Colorado",Denver Broncos
"Prowers County, Colorado",Denver Broncos
"Pueblo County, Colorado",Denver Broncos
"Rio Blanco County, Colorado",New England Patriots
"Rio Grande County, Colorado",Denver Broncos
"Routt County, Colorado",Denver Broncos
"Saguache County, Colorado",Dallas Cowboys
"San Miguel County, Colorado",Denver Broncos
"Sedgwick County, Colorado",San Francisco 49ers
"Summit County, Colorado",Denver Broncos
"Teller County, Colorado",Denver Broncos
"Washington County, Colorado",Houston Texans
"Yuma County, Colorado",Denver Broncos
"Litchfield County, Connecticut",New England Patriots
"New London County, Connecticut",New England Patriots
"Tolland County, Connecticut",New England Patriots
"Windham County, Connecticut",New England Patriots
"Alachua County, Florida",Philadelphia Eagles
"Baker County, Florida",Jacksonville Jaguars
"Bradford County, Florida",Jacksonville Jaguars
"Calhoun County, Florida",Philadelphia Eagles
"Charlotte County, Florida",New England Patriots
"Citrus County, Florida",New England Patriots
"Clay County, Florida",Jacksonville Jaguars
"Columbia County, Florida",Jacksonville Jaguars
"DeSoto County, Florida",Tampa Bay Buccaneers
"Dixie County, Florida",San Francisco 49ers
"Flagler County, Florida",Miami Dolphins
"Franklin County, Florida",Indianapolis Colts
"Gadsden County, Florida",Dallas Cowboys
"Gilchrist County, Florida",Dallas Cowboys
"Glades County, Florida",Miami Dolphins
"Gulf County, Florida",Atlanta Falcons
"Hamilton County, Florida",Jacksonville Jaguars
"Hardee County, Florida",Pittsburgh Steelers
"Hendry County, Florida",New England Patriots
"Hernando County, Florida",Tampa Bay Buccaneers
"Highlands County, Florida",New England Patriots
"Holmes County, Florida",Chicago Bears
"Indian River County, Florida",New England Patriots
"Jackson County, Florida",Philadelphia Eagles
"Jefferson County, Florida",Tennessee Titans
"Lafayette County, Florida",New York Giants
"Levy County, Florida",Miami Dolphins
"Madison County, Florida",Jacksonville Jaguars
"Marion County, Florida",Miami Dolphins
"Martin County, Florida",Miami Dolphins
"Monroe County, Florida",Miami Dolphins
"Nassau County, Florida",Jacksonville Jaguars
"Okeechobee County, Florida",Miami Dolphins
"Pasco County, Florida",Tampa Bay Buccaneers
"Putnam County, Florida",Jacksonville Jaguars
"St. Lucie County, Florida",Miami Dolphins
"Santa Rosa County, Florida",Philadelphia Eagles
"Sumter County, Florida",New England Patriots
"Suwannee County, Florida",Philadelphia Eagles
"Taylor County, Florida",Seattle Seahawks
"Union County, Florida",Philadelphia Eagles
"Wakulla County, Florida",Carolina Panthers
"Walton County, Florida",New England Patriots
"Washington County, Florida",Dallas Cowboys
"Appling County, Georgia",Dallas Cowboys
"Atkinson County, Georgia",Los Angeles Rams
"Bacon County, Georgia",Carolina Panthers
"Baker County, Georgia",New York Giants
"Baldwin County, Georgia",Atlanta Falcons
"Banks County, Georgia",New England Patriots
"Barrow County, Georgia",Atlanta Falcons
"Bartow County, Georgia",Atlanta Falcons
"Ben Hill County, Georgia",Atlanta Falcons
"Berrien County, Georgia",Dallas Cowboys
"Bibb County, Georgia",Atlanta Falcons
"Bleckley County, Georgia",Atlanta Falcons
"Brantley County, Georgia",Dallas Cowboys
"Brooks County, Georgia",Atlanta Falcons
"Bryan County, Georgia",Atlanta Falcons
"Bulloch County, Georgia",Atlanta Falcons
"Burke County, Georgia",Atlanta Falcons
"Butts County, Georgia",Atlanta Falcons
"Calhoun County, Georgia",Los Angeles Rams
"Camden County, Georgia",Jacksonville Jaguars
"Carroll County, Georgia",Atlanta Falcons
"Catoosa County, Georgia",Philadelphia Eagles
"Charlton County, Georgia",Cleveland Browns
"Chatham County, Georgia",Atlanta Falcons
"Chattahoochee County, Georgia",Atlanta Falcons
"Chattooga County, Georgia",Atlanta Falcons
"Cherokee County, Georgia",Atlanta Falcons
"Clinch County, Georgia",Carolina Panthers
"Coffee County, Georgia",Pittsburgh Steelers
"Colquitt County, Georgia",Atlanta Falcons
"Cook County, Georgia",Jacksonville Jaguars
"Crisp County, Georgia",Atlanta Falcons
"Dawson County, Georgia",Indianapolis Colts
"Decatur County, Georgia",New England Patriots
"Dodge County, Georgia",Atlanta Falcons
"Dooly County, Georgia",Atlanta Falcons
"Dougherty County, Georgia",Atlanta Falcons
"Douglas County, Georgia",Atlanta Falcons
"Early County, Georgia",Dallas Cowboys
"Echols County, Georgia",Atlanta Falcons
"Effingham County, Georgia",Atlanta Falcons
"Elbert County, Georgia",Pittsburgh Steelers
"Emanuel County, Georgia",New England Patriots
"Evans County, Georgia",Green Bay Packers
"Fannin County, Georgia",Philadelphia Eagles
"Floyd County, Georgia",Atlanta Falcons
"Forsyth County, Georgia",Atlanta Falcons
"Franklin County, Georgia",Philadelphia Eagles
"Gilmer County, Georgia",Atlanta Falcons
"Gordon County, Georgia",Dallas Cowboys
"Grady County, Georgia",Atlanta Falcons
"Greene County, Georgia",Atlanta Falcons
"Hall County, Georgia",Atlanta Falcons
"Hancock County, Georgia",Dallas Cowboys
"Haralson County, Georgia",Dallas Cowboys
"Harris County, Georgia",Chicago Bears
"Hart County, Georgia",Philadelphia Eagles
"Heard County, Georgia",Atlanta Falcons
"Henry County, Georgia",Atlanta Falcons
"Houston County, Georgia",Atlanta Falcons
"Jackson County, Georgia",Atlanta Falcons
"Jasper County, Georgia",Atlanta Falcons
"Jeff Davis County, Georgia",Atlanta Falcons
"Jefferson County, Georgia",Atlanta Falcons
"Jenkins County, Georgia",Pittsburgh Steelers
"Johnson County, Georgia",New England Patriots
"Jones County, Georgia",Minnesota Vikings
"Lamar County, Georgia",New England Patriots
"Lanier County, Georgia",Atlanta Falcons
"Laurens County, Georgia",Atlanta Falcons
"Lee County, Georgia",New England Patriots
"Liberty County, Georgia",Philadelphia Eagles
"Lincoln County, Georgia",Atlanta Falcons
"Long County, Georgia",New Orleans Saints
"Lowndes County, Georgia",Atlanta Falcons
"Lumpkin County, Georgia",Jacksonville Jaguars
"McDuffie County, Georgia",New Orleans Saints
"McIntosh County, Georgia",Denver Broncos
"Madison County, Georgia",Atlanta Falcons
"Marion County, Georgia",Pittsburgh Steelers
"Meriwether County, Georgia",New Orleans Saints
"Miller County, Georgia",Cleveland Browns
"Mitchell County, Georgia",New England Patriots
"Monroe County, Georgia",New York Giants
"Montgomery County, Georgia",New York Giants
"Morgan County, Georgia",Atlanta Falcons
"Murray County, Georgia",Atlanta Falcons
"Muscogee County, Georgia",Atlanta Falcons
"Newton County, Georgia",Atlanta Falcons
"Oconee County, Georgia",Kansas City Chiefs
"Oglethorpe County, Georgia",Atlanta Falcons
"Paulding County, Georgia",Atlanta Falcons
"Peach County, Georgia",Atlanta Falcons
"Pickens County, Georgia",Atlanta Falcons
"Pierce County, Georgia",Philadelphia Eagles
"Pike County, Georgia",Atlanta Falcons
"Polk County, Georgia",Atlanta Falcons
"Pulaski County, Georgia",Atlanta Falcons
"Putnam County, Georgia",New England Patriots
"Rabun County, Georgia",New York Giants
"Rockdale County, Georgia",Atlanta Falcons
"Schley County, Georgia",Pittsburgh Steelers
"Screven County, Georgia",Atlanta Falcons
"Seminole County, Georgia",New England Patriots
"Spalding County, Georgia",Atlanta Falcons
"Sumter County, Georgia",Atlanta Falcons
"Talbot County, Georgia",Denver Broncos
"Tattnall County, Georgia",Atlanta Falcons
"Taylor County, Georgia",Atlanta Falcons
"Telfair County, Georgia",Atlanta Falcons
"Terrell County, Georgia",Atlanta Falcons
"Thomas County, Georgia",Atlanta Falcons
"Tift County, Georgia",New England Patriots
"Toombs County, Georgia",Atlanta Falcons
"Towns County, Georgia",Philadelphia Eagles
"Troup County, Georgia",Atlanta Falcons
"Turner County, Georgia",Atlanta Falcons
"Twiggs County, Georgia",Green Bay Packers
"Union County, Georgia",Pittsburgh Steelers
"Upson County, Georgia",Atlanta Falcons
"Walker County, Georgia",Atlanta Falcons
"Walton County, Georgia",Atlanta Falcons
"Ware County, Georgia",Jacksonville Jaguars
"Warren County, Georgia",Pittsburgh Steelers
"Washington County, Georgia",New England Patriots
"Wayne County, Georgia",Jacksonville Jaguars
"White County, Georgia",Atlanta Falcons
"Whitfield County, Georgia",Atlanta Falcons
"Wilkes County, Georgia",Atlanta Falcons
"Wilkinson County, Georgia",Pittsburgh Steelers
"Worth County, Georgia",New England Patriots
"Hawaii County, Hawaii",Philadelphia Eagles
"Maui County, Hawaii",San Francisco 49ers
"Bannock County, Idaho",Denver Broncos
"Bear Lake County, Idaho",Los Angeles Rams
"Benewah County, Idaho",Buffalo Bills
"Bingham County, Idaho",Oakland Raiders
"Blaine County, Idaho",Philadelphia Eagles
"Bonner County, Idaho",Seattle Seahawks
"Boundary County, Idaho",Washington Redskins
"Butte County, Idaho",New England Patriots
"Canyon County, Idaho",Dallas Cowboys
"Caribou County, Idaho",Green Bay Packers
"Cassia County, Idaho",San Francisco 49ers
"Clearwater County, Idaho",Oakland Raiders
"Custer County, Idaho",Los Angeles Rams
"Franklin County, Idaho",New England Patriots
"Gooding County, Idaho",New England Patriots
"Idaho County, Idaho",Denver Broncos
"Jefferson County, Idaho",Buffalo Bills
"Jerome County, Idaho",Dallas Cowboys
"Latah County, Idaho",San Francisco 49ers
"Lemhi County, Idaho",Oakland Raiders
"Lewis County, Idaho",Seattle Seahawks
"Lincoln County, Idaho",Kansas City Chiefs
"Madison County, Idaho",San Francisco 49ers
"Minidoka County, Idaho",Oakland Raiders
"Nez Perce County, Idaho",Seattle Seahawks
"Owyhee County, Idaho",San Francisco 49ers
"Payette County, Idaho",Pittsburgh Steelers
"Power County, Idaho",New England Patriots
"Shoshone County, Idaho",Seattle Seahawks
"Teton County, Idaho",Denver Broncos
"Twin Falls County, Idaho",Chicago Bears
"Valley County, Idaho",Denver Broncos
"Washington County, Idaho",Seattle Seahawks
"Adams County, Illinois",Dallas Cowboys
"Bond County, Illinois",Minnesota Vikings
"Boone County, Illinois",Chicago Bears
"Brown County, Illinois",Minnesota Vikings
"Bureau County, Illinois",Chicago Bears
"Calhoun County, Illinois",Carolina Panthers
"Carroll County, Illinois",Chicago Bears
"Cass County, Illinois",Green Bay Packers
"Clark County, Illinois",Indianapolis Colts
"Clinton County, Illinois",Philadelphia Eagles
"DeKalb County, Illinois",Chicago Bears
"De Witt County, Illinois",Chicago Bears
"Edgar County, Illinois",Chicago Bears
"Ford County, Illinois",Minnesota Vikings
"Greene County, Illinois",New England Patriots
"Grundy County, Illinois",Chicago Bears
"Hamilton County, Illinois",New England Patriots
"Henderson County, Illinois",Chicago Bears
"Iroquois County, Illinois",Chicago Bears
"Jasper County, Illinois",Chicago Bears
"Jersey County, Illinois",Chicago Bears
"Jo Daviess County, Illinois",Minnesota Vikings
"Johnson County, Illinois",New England Patriots
"Kendall County, Illinois",Chicago Bears
"LaSalle County, Illinois",Chicago Bears
"Lawrence County, Illinois",Green Bay Packers
"Lee County, Illinois",Chicago Bears
"Livingston County, Illinois",Chicago Bears
"Logan County, Illinois",Houston Texans
"McDonough County, Illinois",Philadelphia Eagles
"Marion County, Illinois",New England Patriots
"Marshall County, Illinois",Chicago Bears
"Mason County, Illinois",Chicago Bears
"Massac County, Illinois",Dallas Cowboys
"Menard County, Illinois",Kansas City Chiefs
"Mercer County, Illinois",Chicago Bears
"Montgomery County, Illinois",Philadelphia Eagles
"Morgan County, Illinois",New England Patriots
"Moultrie County, Illinois",New York Giants
"Ogle County, Illinois",Chicago Bears
"Piatt County, Illinois",Dallas Cowboys
"Pulaski County, Illinois",Tennessee Titans
"Putnam County, Illinois",Jacksonville Jaguars
"Randolph County, Illinois",Philadelphia Eagles
"Richland County, Illinois",Indianapolis Colts
"Rock Island County, Illinois",Chicago Bears
"Saline County, Illinois",Dallas Cowboys
"Schuyler County, Illinois",Chicago Bears
"Scott County, Illinois",San Francisco 49ers
"Shelby County, Illinois",Chicago Bears
"Stark County, Illinois",Chicago Bears
"Stephenson County, Illinois",Chicago Bears
"Union County, Illinois",Carolina Panthers
"Wabash County, Illinois",Green Bay Packers
"Warren County, Illinois",Chicago Bears
"Washington County, Illinois",Chicago Bears
"Wayne County, Illinois",New England Patriots
"White County, Illinois",Philadelphia Eagles
"Whiteside County, Illinois",Chicago Bears
"Winnebago County, Illinois",Chicago Bears
"Woodford County, Illinois",Chicago Bears
"Adams County, Indiana",Chicago Bears
"Bartholomew County, Indiana",Indianapolis Colts
"Benton County, Indiana",Oakland Raiders
"Blackford County, Indiana",Indianapolis Colts
"Boone County, Indiana",Indianapolis Colts
"Brown County, Indiana",Indianapolis Colts
"Carroll County, Indiana",Philadelphia Eagles
"Cass County, Indiana",Indianapolis Colts
"Clark County, Indiana",Washington Redskins
"Clay County, Indiana",Indianapolis Colts
"Clinton County, Indiana",Indianapolis Colts
"Crawford County, Indiana",Jacksonville Jaguars
"Daviess County, Indiana",Indianapolis Colts
"Dearborn County, Indiana",Cincinnati Bengals
"Decatur County, Indiana",Indianapolis Colts
"Delaware County, Indiana",Indianapolis Colts
"Dubois County, Indiana",Indianapolis Colts
"Fayette County, Indiana",Indianapolis Colts
"Floyd County, Indiana",Philadelphia Eagles
"Fountain County, Indiana",Chicago Bears
"Franklin County, Indiana",Cincinnati Bengals
"Fulton County, Indiana",Miami Dolphins
"Gibson County, Indiana",Indianapolis Colts
"Grant County, Indiana",Indianapolis Colts
"Greene County, Indiana",Indianapolis Colts
"Hancock County, Indiana",Indianapolis Colts
"Harrison County, Indiana",Jacksonville Jaguars
"Hendricks County, Indiana",Indianapolis Colts
"Henry County, Indiana",Indianapolis Colts
"Howard County, Indiana",Indianapolis Colts
"Huntington County, Indiana",Indianapolis Colts
"Jackson County, Indiana",Indianapolis Colts
"Jay County, Indiana",Indianapolis Colts
"Jefferson County, Indiana",Indianapolis Colts
"Jennings County, Indiana",Indianapolis Colts
"Johnson County, Indiana",Indianapolis Colts
"Knox County, Indiana",Indianapolis Colts
"LaGrange County, Indiana",Indianapolis Colts
"LaPorte County, Indiana",Chicago Bears
"Lawrence County, Indiana",Indianapolis Colts
"Madison County, Indiana",Indianapolis Colts
"Marshall County, Indiana",New England Patriots
"Martin County, Indiana",Philadelphia Eagles
"Miami County, Indiana",New England Patriots
"Monroe County, Indiana",Indianapolis Colts
"Montgomery County, Indiana",Indianapolis Colts
"Newton County, Indiana",Chicago Bears
"Noble County, Indiana",Indianapolis Colts
"Ohio County, Indiana",Pittsburgh Steelers
"Orange County, Indiana",Dallas Cowboys
"Parke County, Indiana",Indianapolis Colts
"Perry County, Indiana",Indianapolis Colts
"Posey County, Indiana",Detroit Lions
"Pulaski County, Indiana",New England Patriots
"Putnam County, Indiana",Indianapolis Colts
"Randolph County, Indiana",Indianapolis Colts
"Ripley County, Indiana",Dallas Cowboys
"Rush County, Indiana",Indianapolis Colts
"Scott County, Indiana",Dallas Cowboys
"Shelby County, Indiana",Indianapolis Colts
"Spencer County, Indiana",Green Bay Packers
"Starke County, Indiana",New England Patriots
"Steuben County, Indiana",Detroit Lions
"Switzerland County, Indiana",Indianapolis Colts
"Tippecanoe County, Indiana",Indianapolis Colts
"Tipton County, Indiana",Indianapolis Colts
"Union County, Indiana",Tennessee Titans
"Vermillion County, Indiana",New England Patriots
"Vigo County, Indiana",Indianapolis Colts
"Warren County, Indiana",Philadelphia Eagles
"Warrick County, Indiana",Philadelphia Eagles
"Washington County, Indiana",New England Patriots
"Wayne County, Indiana",Cincinnati Bengals
"Wells County, Indiana",Indianapolis Colts
"White County, Indiana",Indianapolis Colts
"Whitley County, Indiana",Dallas Cowboys
"Adair County, Iowa",Chicago Bears
"Allamakee County, Iowa",Green Bay Packers
"Appanoose County, Iowa",Pittsburgh Steelers
"Audubon County, Iowa",Washington Redskins
"Benton County, Iowa",Oakland Raiders
"Boone County, Iowa",Denver Broncos
"Bremer County, Iowa",Philadelphia Eagles
"Buchanan County, Iowa",New England Patriots
"Butler County, Iowa",Pittsburgh Steelers
"Calhoun County, Iowa",Minnesota Vikings
"Carroll County, Iowa",Green Bay Packers
"Cass County, Iowa",New England Patriots
"Cedar County, Iowa",Green Bay Packers
"Cerro Gordo County, Iowa",Minnesota Vikings
"Cherokee County, Iowa",Minnesota Vikings
"Chickasaw County, Iowa",Cincinnati Bengals
"Clarke County, Iowa",Philadelphia Eagles
"Clay County, Iowa",Atlanta Falcons
"Clayton County, Iowa",Minnesota Vikings
"Clinton County, Iowa",Dallas Cowboys
"Crawford County, Iowa",New England Patriots
"Dallas County, Iowa",Minnesota Vikings
"Decatur County, Iowa",Kansas City Chiefs
"Delaware County, Iowa",Dallas Cowboys
"Des Moines County, Iowa",New England Patriots
"Dickinson County, Iowa",Minnesota Vikings
"Dubuque County, Iowa",Green Bay Packers
"Emmet County, Iowa",San Francisco 49ers
"Fayette County, Iowa",Green Bay Packers
"Franklin County, Iowa",Philadelphia Eagles
"Fremont County, Iowa",Chicago Bears
"Grundy County, Iowa",Minnesota Vikings
"Guthrie County, Iowa",Kansas City Chiefs
"Hamilton County, Iowa",Oakland Raiders
"Hancock County, Iowa",Minnesota Vikings
"Hardin County, Iowa",Minnesota Vikings
"Harrison County, Iowa",Chicago Bears
"Henry County, Iowa",New England Patriots
"Howard County, Iowa",Minnesota Vikings
"Humboldt County, Iowa",Minnesota Vikings
"Ida County, Iowa",Minnesota Vikings
"Iowa County, Iowa",Kansas City Chiefs
"Jackson County, Iowa",Green Bay Packers
"Jasper County, Iowa",Minnesota Vikings
"Jefferson County, Iowa",Denver Broncos
"Jones County, Iowa",Kansas City Chiefs
"Keokuk County, Iowa",Minnesota Vikings
"Kossuth County, Iowa",Green Bay Packers
"Louisa County, Iowa",Chicago Bears
"Lyon County, Iowa",Buffalo Bills
"Mahaska County, Iowa",Chicago Bears
"Marion County, Iowa",Philadelphia Eagles
"Marshall County, Iowa",Chicago Bears
"Mills County, Iowa",Dallas Cowboys
"Mitchell County, Iowa",Minnesota Vikings
"Monona County, Iowa",Green Bay Packers
"Monroe County, Iowa",Minnesota Vikings
"Montgomery County, Iowa",Dallas Cowboys
"Muscatine County, Iowa",Minnesota Vikings
"O'Brien County, Iowa",Minnesota Vikings
"Osceola County, Iowa",Minnesota Vikings
"Page County, Iowa",Carolina Panthers
"Palo Alto County, Iowa",Minnesota Vikings
"Pocahontas County, Iowa",Green Bay Packers
"Pottawattamie County, Iowa",Chicago Bears
"Poweshiek County, Iowa",Kansas City Chiefs
"Shelby County, Iowa",Los Angeles Rams
"Tama County, Iowa",Green Bay Packers
"Union County, Iowa",Philadelphia Eagles
"Van Buren County, Iowa",Indianapolis Colts
"Wapello County, Iowa",Chicago Bears
"Warren County, Iowa",Minnesota Vikings
"Washington County, Iowa",Philadelphia Eagles
"Wayne County, Iowa",Los Angeles Rams
"Webster County, Iowa",Minnesota Vikings
"Winnebago County, Iowa",Minnesota Vikings
"Winneshiek County, Iowa",Minnesota Vikings
"Woodbury County, Iowa",Minnesota Vikings
"Worth County, Iowa",New England Patriots
"Wright County, Iowa",Chicago Bears
"Allen County, Kansas",Kansas City Chiefs
"Anderson County, Kansas",Kansas City Chiefs
"Barber County, Kansas",Pittsburgh Steelers
"Barton County, Kansas",Kansas City Chiefs
"Bourbon County, Kansas",Tennessee Titans
"Brown County, Kansas",Kansas City Chiefs
"Butler County, Kansas",Kansas City Chiefs
"Chase County, Kansas",Indianapolis Colts
"Cherokee County, Kansas",Kansas City Chiefs
"Clark County, Kansas",Los Angeles Rams
"Clay County, Kansas",Philadelphia Eagles
"Cloud County, Kansas",Kansas City Chiefs
"Coffey County, Kansas",Cleveland Browns
"Cowley County, Kansas",Dallas Cowboys
"Dickinson County, Kansas",Kansas City Chiefs
"Doniphan County, Kansas",Kansas City Chiefs
"Douglas County, Kansas",Kansas City Chiefs
"Edwards County, Kansas",Tennessee Titans
"Elk County, Kansas",Dallas Cowboys
"Ellis County, Kansas",Kansas City Chiefs
"Ellsworth County, Kansas",Kansas City Chiefs
"Finney County, Kansas",Denver Broncos
"Ford County, Kansas",Oakland Raiders
"Franklin County, Kansas",New England Patriots
"Geary County, Kansas",San Francisco 49ers
"Grant County, Kansas",Denver Broncos
"Gray County, Kansas",San Francisco 49ers
"Greenwood County, Kansas",Kansas City Chiefs
"Harper County, Kansas",Kansas City Chiefs
"Harvey County, Kansas",Philadelphia Eagles
"Haskell County, Kansas",Oakland Raiders
"Hodgeman County, Kansas",Philadelphia Eagles
"Jackson County, Kansas",Washington Redskins
"Jefferson County, Kansas",Cleveland Browns
"Jewell County, Kansas",Oakland Raiders
"Kearny County, Kansas",Kansas City Chiefs
"Kiowa County, Kansas",Kansas City Chiefs
"Labette County, Kansas",Kansas City Chiefs
"Leavenworth County, Kansas",Kansas City Chiefs
"Linn County, Kansas",Kansas City Chiefs
"Lyon County, Kansas",Philadelphia Eagles
"McPherson County, Kansas",Kansas City Chiefs
"Marion County, Kansas",Kansas City Chiefs
"Marshall County, Kansas",Kansas City Chiefs
"Miami County, Kansas",Kansas City Chiefs
"Mitchell County, Kansas",Kansas City Chiefs
"Montgomery County, Kansas",Miami Dolphins
"Morris County, Kansas",Pittsburgh Steelers
"Nemaha County, Kansas",New England Patriots
"Neosho County, Kansas",Kansas City Chiefs
"Ness County, Kansas",Carolina Panthers
"Norton County, Kansas",New England Patriots
"Osage County, Kansas",Kansas City Chiefs
"Osborne County, Kansas",Kansas City Chiefs
"Ottawa County, Kansas",Kansas City Chiefs
"Pawnee County, Kansas",Kansas City Chiefs
"Phillips County, Kansas",Kansas City Chiefs
"Pottawatomie County, Kansas",Pittsburgh Steelers
"Reno County, Kansas",Kansas City Chiefs
"Republic County, Kansas",Oakland Raiders
"Rice County, Kansas",Kansas City Chiefs
"Riley County, Kansas",Kansas City Chiefs
"Rush County, Kansas",Kansas City Chiefs
"Russell County, Kansas",Denver Broncos
"Saline County, Kansas",Kansas City Chiefs
"Seward County, Kansas",New Orleans Saints
"Sherman County, Kansas",Philadelphia Eagles
"Smith County, Kansas",Kansas City Chiefs
"Stanton County, Kansas",New England Patriots
"Stevens County, Kansas",San Francisco 49ers
"Sumner County, Kansas",Kansas City Chiefs
"Thomas County, Kansas",New England Patriots
"Trego County, Kansas",Philadelphia Eagles
"Wabaunsee County, Kansas",Kansas City Chiefs
"Wallace County, Kansas",Kansas City Chiefs
"Washington County, Kansas",Kansas City Chiefs
"Wichita County, Kansas",Kansas City Chiefs
"Wilson County, Kansas",Kansas City Chiefs
"Adair County, Kentucky",Tennessee Titans
"Allen County, Kentucky",New England Patriots
"Anderson County, Kentucky",Philadelphia Eagles
"Barren County, Kentucky",Philadelphia Eagles
"Bath County, Kentucky",Green Bay Packers
"Bell County, Kentucky",Pittsburgh Steelers
"Boone County, Kentucky",Cincinnati Bengals
"Bourbon County, Kentucky",Tennessee Titans
"Boyd County, Kentucky",Philadelphia Eagles
"Boyle County, Kentucky",Pittsburgh Steelers
"Bracken County, Kentucky",Chicago Bears
"Bullitt County, Kentucky",Dallas Cowboys
"Butler County, Kentucky",Buffalo Bills
"Caldwell County, Kentucky",Chicago Bears
"Calloway County, Kentucky",Oakland Raiders
"Campbell County, Kentucky",Cincinnati Bengals
"Carlisle County, Kentucky",New England Patriots
"Carroll County, Kentucky",Philadelphia Eagles
"Carter County, Kentucky",Pittsburgh Steelers
"Christian County, Kentucky",Tennessee Titans
"Clark County, Kentucky",Tennessee Titans
"Clay County, Kentucky",Philadelphia Eagles
"Clinton County, Kentucky",Tennessee Titans
"Crittenden County, Kentucky",Dallas Cowboys
"Cumberland County, Kentucky",Pittsburgh Steelers
"Estill County, Kentucky",Detroit Lions
"Fayette County, Kentucky",Philadelphia Eagles
"Fleming County, Kentucky",Cleveland Browns
"Floyd County, Kentucky",Pittsburgh Steelers
"Franklin County, Kentucky",Los Angeles Rams
"Fulton County, Kentucky",Washington Redskins
"Gallatin County, Kentucky",Cincinnati Bengals
"Grant County, Kentucky",Cincinnati Bengals
"Grayson County, Kentucky",New England Patriots
"Green County, Kentucky",Denver Broncos
"Greenup County, Kentucky",New England Patriots
