"Search interest in Denmark Party Leaders by City from 5/27/15-6/15/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,
City,Most Searched,Kristian Thulesen Dahl,Helle Thorning-Schmidt,Søren Pape Poulsen,Morten Østergaard,Lars Løkke Rasmussen,Pia Olsen Dyhr,Uffe Elbæk,Johanne Schmidt-Nielsen,Stig Grenov,Anders Samuelsen
Farum (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00
Faxe Ladeplads (Region Zealand Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00
Fredensborg (Capital Region of Denmark Denmark),Kristian Thulesen Dahl,0.69,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00
Frederiksberg (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.07,0.47,0.03,0.10,0.37,0.10,0.13,0.27,0.00,0.10
Frederikshavn (North Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.25,0.13,0.00,0.25,0.13,0.00,0.38,0.00,0.00
Give Municipality (Southern Denmark Region Denmark),Kristian Thulesen Dahl,0.81,0.00,0.00,0.00,0.40,0.00,0.00,0.40,0.00,0.00
Gorlev (Region Zealand Denmark),Anders Samuelsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.57
Graested (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00
Greve Strand (Region Zealand Denmark),Anders Samuelsen,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.00,0.00,0.38
Grindsted (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.26,0.77,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.00
Gudhjem (Capital Region of Denmark Denmark),Kristian Thulesen Dahl,0.34,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.17
Haarby Municipality (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haderslev (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.38,0.00,0.00,0.28,0.00,0.19,0.09,0.00,0.00
Hanstholm (North Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00
Haslev (Region Zealand Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.28,0.28,0.28,0.00,0.00,0.28
Hasselager (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,1.24,0.00,0.00,0.00,0.00,0.00
Hedehusene (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.61,0.61,0.00,0.61,0.00,0.61,0.00,0.00,0.00
