Suchinteresse nach Kernenergie in Deutschland nach Landkreis,,
13. April 2022 bis 12. April 2023,,
Landkreis_Code,Landkreis_Name,Indexwert
14713,Leipzig,42.4
14729,Leipzig,34.3
14730,Nordsachsen,30.5
15001,Dessau-Roßlau,26.7
15002,Halle (Saale),41
15003,Magdeburg,41.2
15081,Altmarkkreis Salzwedel,49.8
15082,Anhalt-Bitterfeld,44.6
15083,Börde,23.6
15084,Burgenlandkreis,48.6
15085,Harz,32.9
15086,Jerichower Land,28.1
15087,Mansfeld-Südharz,37.3
15088,Saalekreis,45.2
15089,Salzlandkreis,35.1
15090,Stendal,36.9
15091,Wittenberg,37.7
16051,Erfurt,36.1
16052,Gera,33.1
16053,Jena,47.5
16054,Suhl,71.5
16055,Weimar,50.6
16056,Eisenach,26.4
16061,Eichsfeld,35.7
16062,Nordhausen,22.3
16063,Wartburgkreis,43.4
16064,Unstrut-Hainich-Kreis,24.3
16065,Kyffhäuserkreis,17.8
16066,Schmalkalden-Meiningen,25.2
16067,Gotha,36.1
16068,Sömmerda,38.3
16069,Hildburghausen,16.7
16070,Ilm-Kreis,43.5
16071,Weimarer Land,30.8
16072,Sonneberg,12.5
16073,Saalfeld-Rudolstadt,25.8
16074,Saale-Holzland-Kreis,27
16075,Saale-Orla-Kreis,34
16076,Greiz,49.5
16077,Altenburger Land,11.3
