"Search interest in Eurovision from May 6 - 13, 2016. All values indexed to 100, where 100 is the max search interest.",,,
city,region,country,searchinterest
Barking,England,United Kingdom,9.57
High Wycombe,England,United Kingdom,9.57
Wythenshawe,England,United Kingdom,9.53
Odintsovo,Moskovskaya oblast,Russia,9.52
Sjevjerodonets'k,Luhans'ka oblast,Ukraine,9.52
Desborough,England,United Kingdom,9.52
Derby,England,United Kingdom,9.52
Sint-Niklaas,Flanders,Belgium,9.51
Galgate,England,United Kingdom,9.50
Carterton,England,United Kingdom,9.50
Toddington,England,United Kingdom,9.48
Aberdeen,Scotland,United Kingdom,9.47
Falun,Dalarna County,Sweden,9.45
Dinnington,England,United Kingdom,9.43
Irkutsk,Irkutsk Oblast,Russia,9.43
Ufa,Republic of Bashkortostan,Russia,9.41
Rendsburg,Schleswig-Holstein,Germany,9.41
Ashdod,Southern District,Israel,9.41
Beersheba,Southern District,Israel,9.35
Pushkin,Saint Petersburg,Russia,9.34
Hatfield Heath,England,United Kingdom,9.31
Kursk,Kursk Oblast,Russia,9.30
Kirov,Kirov Oblast,Russia,9.29
Perm,Perm Krai,Russia,9.24
Panevėžys,Panevėžys County,Lithuania,9.23
Warmley,England,United Kingdom,9.23
Vantaa,Uusimaa,Finland,9.21
Sarajevo,BA-BIH,Bosnia and Herzegovina,9.21
Volgograd,Volgograd Oblast,Russia,9.18
Halesowen,England,United Kingdom,9.16
Chisinau,Chisinau,Moldova,9.14
Hull,England,United Kingdom,9.14
Stoke-on-Trent,England,United Kingdom,9.14
Zottegem,Flanders,Belgium,9.14
Cherkessk,Karachay-Cherkessia,Russia,9.14
Kazan,Republic of Tatarstan,Russia,9.14
Great Dunmow,England,United Kingdom,9.13
Kemerovo,Kemerovo Oblast,Russia,9.11
Ipswich,England,United Kingdom,9.08
Luton,England,United Kingdom,9.06
Swindon,England,United Kingdom,9.04
Tyumen,Tyumen Oblast,Russia,9.03
Tibshelf,England,United Kingdom,9.02
Surgut,Khanty-Mansi Autonomous Okrug,Russia,9.02
Watford,England,United Kingdom,9.01
