"Top searched candidate by county, 11/14/15 to 11/18/15",,,
FIPS,County,State,Top Democrat
40027,Cleveland,Oklahoma,Bernie Sanders
13065,Clinch,Georgia,Bernie Sanders
17027,Clinton,Illinois,Hillary Clinton
18023,Clinton,Indiana,Bernie Sanders
19045,Clinton,Iowa,Martin O'Maley
21053,Clinton,Kentucky,Hillary Clinton
26037,Clinton,Michigan,Bernie Sanders
29049,Clinton,Missouri,Bernie Sanders
36019,Clinton,New York,Bernie Sanders
39027,Clinton,Ohio,Bernie Sanders
42035,Clinton,Pennsylvania,Bernie Sanders
20029,Cloud,Kansas,Bernie Sanders
28027,Coahoma,Mississippi,Hillary Clinton
13067,Cobb,Georgia,Bernie Sanders
4003,Cochise,Arizona,Bernie Sanders
47029,Cocke,Tennessee,Bernie Sanders
4005,Coconino,Arizona,Hillary Clinton
46029,Codington,South Dakota,Hillary Clinton
1031,Coffee,Alabama,Hillary Clinton
47031,Coffee,Tennessee,Bernie Sanders
20031,Coffey,Kansas,Hillary Clinton
48081,Coke,Texas,Hillary Clinton
1033,Colbert,Alabama,Hillary Clinton
29051,Cole,Missouri,Bernie Sanders
48083,Coleman,Texas,Hillary Clinton
17029,Coles,Illinois,Bernie Sanders
31037,Colfax,Nebraska,Hillary Clinton
35007,Colfax,New Mexico,Hillary Clinton
45029,Colleton,South Carolina,Hillary Clinton
12021,Collier,Florida,Hillary Clinton
48085,Collin,Texas,Bernie Sanders
48087,Collingsworth,Texas,Hillary Clinton
48089,Colorado,Texas,Hillary Clinton
13071,Colquitt,Georgia,Bernie Sanders
5027,Columbia,Arkansas,Bernie Sanders
12023,Columbia,Florida,Hillary Clinton
13073,Columbia,Georgia,Bernie Sanders
36021,Columbia,New York,Hillary Clinton
41009,Columbia,Oregon,Bernie Sanders
42037,Columbia,Pennsylvania,Martin O'Maley
53013,Columbia,Washington,Bernie Sanders
55021,Columbia,Wisconsin,Bernie Sanders
39029,Columbiana,Ohio,Hillary Clinton
37047,Columbus,North Carolina,Hillary Clinton
6011,Colusa,California,Hillary Clinton
48091,Comal,Texas,Hillary Clinton
