county_code,countyname,state,Most Searched,Second Most Searched
20077,Harper,Kansas,Donald Trump,Lindsey Graham
12023,Columbia,Florida,Donald Trump,Carly Fiorina
12027,De Soto,Florida,Donald Trump,Jeb Bush
12029,Dixie,Florida,Donald Trump,Ted Cruz
12031,Duval,Florida,Donald Trump,Jeb Bush
12033,Escambia,Florida,Donald Trump,John Kasich
12037,Franklin,Florida,Donald Trump,Jeb Bush
12039,Gadsden,Florida,Donald Trump,Ben Carson
12041,Gilchrist,Florida,Ted Cruz,Donald Trump
12043,Glades,Florida,Donald Trump,John Kasich
12045,Gulf,Florida,Donald Trump,Chris Christie
12061,Indian River,Florida,Donald Trump,Jeb Bush
12047,Hamilton,Florida,Donald Trump,Bobby Jindal
12049,Hardee,Florida,Donald Trump,Bobby Jindal
12051,Hendry,Florida,Donald Trump,Ben Carson
12053,Hernando,Florida,Donald Trump,Rick Perry
12055,Highlands,Florida,Donald Trump,Bobby Jindal
12057,Hillsborough,Florida,Donald Trump,Jeb Bush
12059,Holmes,Florida,Donald Trump,Chris Christie
12063,Jackson,Florida,Donald Trump,Jeb Bush
12065,Jefferson,Florida,Donald Trump,Marco Rubio
12067,Lafayette,Florida,Donald Trump,Bobby Jindal
12069,Lake,Florida,Donald Trump,Jeb Bush
12071,Lee,Florida,Donald Trump,Jeb Bush
12073,Leon,Florida,Donald Trump,Jeb Bush
12075,Levy,Florida,Donald Trump,Scott Walker
12079,Madison,Florida,Donald Trump,Ben Carson
12099,Palm Beach,Florida,Donald Trump,Jeb Bush
12081,Manatee,Florida,Donald Trump,Jeb Bush
12083,Marion,Florida,Donald Trump,Jeb Bush
12085,Martin,Florida,Donald Trump,Bobby Jindal
12086,Miami-Dade,Florida,Donald Trump,Jeb Bush
12087,Monroe,Florida,Donald Trump,Jeb Bush
12101,Pasco,Florida,Donald Trump,Jeb Bush
19107,Keokuk,Iowa,Donald Trump,Jeb Bush
12089,Nassau,Florida,Donald Trump,Jeb Bush
12091,Okaloosa,Florida,Donald Trump,Jeb Bush
12093,Okeechobee,Florida,Donald Trump,Jeb Bush
12095,Orange,Florida,Donald Trump,Jeb Bush
12097,Osceola,Florida,Donald Trump,Jeb Bush
12103,Pinellas,Florida,Donald Trump,Ben Carson
12105,Polk,Florida,Donald Trump,Marco Rubio
12107,Putnam,Florida,Donald Trump,Rick Perry
12109,St Johns,Florida,Donald Trump,Ted Cruz
12111,St Lucie,Florida,Donald Trump,Rand Paul
13009,Baldwin,Georgia,Donald Trump,Ben Carson
12113,Santa Rosa,Florida,Donald Trump,Jeb Bush
12115,Sarasota,Florida,Donald Trump,Jeb Bush
12117,Seminole,Florida,Donald Trump,Rand Paul
12119,Sumter,Florida,Donald Trump,Ted Cruz
12121,Suwannee,Florida,Donald Trump,Jeb Bush
19109,Kossuth,Iowa,Donald Trump,Carly Fiorina
12123,Taylor,Florida,Donald Trump,Ted Cruz
12125,Union,Florida,Donald Trump,Jeb Bush
12127,Volusia,Florida,Donald Trump,Jeb Bush
12129,Wakulla,Florida,Donald Trump,Jeb Bush
12131,Walton,Florida,Donald Trump,Mike Huckabee
12133,Washington,Florida,Donald Trump,Jeb Bush
13001,Appling,Georgia,Donald Trump,Chris Christie
13003,Atkinson,Georgia,Donald Trump,Scott Walker
13005,Bacon,Georgia,Donald Trump,Ben Carson
13007,Baker,Georgia,Donald Trump,Bobby Jindal
13011,Banks,Georgia,Donald Trump,Ted Cruz
13013,Barrow,Georgia,Donald Trump,Jeb Bush
13015,Bartow,Georgia,Donald Trump,Ted Cruz
13019,Berrien,Georgia,Donald Trump,Bobby Jindal
13021,Bibb,Georgia,Donald Trump,Jeb Bush
20079,Harvey,Kansas,Donald Trump,Marco Rubio
13023,Bleckley,Georgia,Donald Trump,Jeb Bush
13025,Brantley,Georgia,Donald Trump,Rand Paul
13027,Brooks,Georgia,Donald Trump,Ben Carson
13029,Bryan,Georgia,Donald Trump,Rand Paul
13031,Bulloch,Georgia,Donald Trump,Ben Carson
13067,Cobb,Georgia,Donald Trump,Jeb Bush
13033,Burke,Georgia,Donald Trump,Lindsey Graham
13035,Butts,Georgia,John Kasich,Donald Trump
13039,Camden,Georgia,Donald Trump,Ted Cruz
13043,Candler,Georgia,Donald Trump,Rand Paul
13045,Carroll,Georgia,Donald Trump,Marco Rubio
13047,Catoosa,Georgia,Donald Trump,John Kasich
13049,Charlton,Georgia,Donald Trump,Bobby Jindal
13051,Chatham,Georgia,Donald Trump,Jeb Bush
13053,Chattahoochee,Georgia,Donald Trump,Ted Cruz
13055,Chattooga,Georgia,Donald Trump,Ted Cruz
13057,Cherokee,Georgia,Donald Trump,Marco Rubio
13059,Clarke,Georgia,Donald Trump,Jeb Bush
13063,Clayton,Georgia,Donald Trump,Jeb Bush
13065,Clinch,Georgia,Donald Trump,Ted Cruz
13093,Dooly,Georgia,Donald Trump,Rand Paul
